site,species_name,year,treatment_code,tree_id,stem_id,diameter_cm
Lakamane,Combretum glutinosum,2010,5,10,1,6.7
Lakamane,Combretum glutinosum,2010,5,11,1,8.9
Lakamane,Combretum glutinosum,2010,5,12,1,10.8
Lakamane,Combretum glutinosum,2010,5,12,2,6.7
Lakamane,Combretum glutinosum,2010,5,12,3,9.5
Lakamane,Combretum glutinosum,2010,5,12,4,13.5
Lakamane,Combretum glutinosum,2010,5,13,1,8.5
Lakamane,Combretum glutinosum,2010,5,13,2,6.3
Lakamane,Combretum glutinosum,2010,5,14,1,9.3
Lakamane,Combretum glutinosum,2010,5,14,2,7.4
Lakamane,Combretum glutinosum,2010,5,14,3,6.7
Lakamane,Combretum glutinosum,2010,5,15,1,8.9
Lakamane,Combretum glutinosum,2010,5,16,1,8.6
Lakamane,Combretum glutinosum,2010,5,16,2,6.8
Lakamane,Combretum glutinosum,2010,5,16,3,3.6
Lakamane,Combretum glutinosum,2010,5,17,1,10.2
Lakamane,Combretum glutinosum,2010,5,17,2,5.3
Lakamane,Combretum glutinosum,2010,5,17,3,5.6
Lakamane,Combretum glutinosum,2010,5,18,1,9.8
Lakamane,Combretum glutinosum,2010,5,19,1,7.1
Lakamane,Combretum glutinosum,2010,5,20,1,9.3
Lakamane,Combretum glutinosum,2010,5,20,2,6.9
