"site","species_name","year","treatment_code","tree_id","stem_id","diameter_cm","initial_biomass_g"
"Lakamane","Combretum glutinosum",2010,5,8,1,7.7,8310
"Lakamane","Combretum glutinosum",2010,5,9,1,9.9,17598
"Lakamane","Combretum glutinosum",2010,5,10,1,6.7,5486
"Lakamane","Combretum glutinosum",2010,5,11,1,8.9,12806
"Lakamane","Combretum glutinosum",2010,5,12,1,10.8,22819
"Lakamane","Combretum glutinosum",2010,5,13,1,8.5,11163
"Lakamane","Combretum glutinosum",2010,5,14,1,9.3,14602
"Lakamane","Combretum glutinosum",2010,5,15,1,8.9,12806
"Lakamane","Combretum glutinosum",2010,5,16,1,8.6,11560
"Lakamane","Combretum glutinosum",2010,5,17,1,10.2,19239
"Lakamane","Combretum glutinosum",2010,5,18,1,9.8,17073
"Lakamane","Combretum glutinosum",2010,5,19,1,7.1,6523
"Lakamane","Combretum glutinosum",2010,5,20,1,9.3,14602
